0
"100 Main Street SE, Southeast Main Street, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55414, United States of America"
"Target Plaza Commons, 1011, Nicollet Mall, Sumner-Glenwood, Phillips, Minneapolis, Hennepin County, Minnesota, 55402-9998, United States of America"
"10th Street E & Cedar Street, East 10th Street, St. Paul, Ramsey County, Minnesota, 55101, United States of America"
"Izzy's Ice Cream Cafe, 1100, South 2nd Street, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55415, United States of America"
"Hennepin, Hennepin Avenue, Sumner-Glenwood, Phillips, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"Marquette, Marquette Avenue S, Phillips, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"Marjorie McNeely Conservatory, Aida Place, St. Paul, Ramsey County, Minnesota, 55103, United States of America"
"CookeH, 1900, Pillsbury Drive Southeast, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55455, United States of America"
"Curfew Street & Ellis Ave. Station, Curfew Street, St. Paul, Ramsey County, Minnesota, 55114, United States of America"
"Currie Park, 15th Avenue South, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55404, United States of America"
"Grand Ave., South Dale Street, St. Paul, Ramsey County, Minnesota, 55102, United States of America"
"Frogtown Square, Dale Street, St. Paul, Ramsey County, Minnesota, 55103, United States of America"
"2600, Southeast University Avenue, Longfellow, Minneapolis, Hennepin County, Minnesota, 55414, United States of America"
"Downtown Library, Nicollet Mall, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55401, United States of America"
"Central Bank, 2120, Hennepin Avenue South, Phillips, Minneapolis, Hennepin County, Minnesota, 55405, United States of America"
"Cub Foods, 1104, Lagoon Avenue, Lowry Hill East, Minneapolis, Hennepin County, Minnesota, 55408, United States of America"
"14th Street Parking Ramp, 135, East 14th Street, St. Paul, Ramsey County, Minnesota, 55101, United States of America"
"Fairview Hiawatha Clinic, 3809, 42nd Avenue South, Howe, Minneapolis, Hennepin County, Minnesota, 55406, United States of America"
"Minnesota American Indian Center, East Franklin Avenue, Phillips, Minneapolis, Hennepin County, Minnesota, 55404, United States of America"
"36 Av S, East Lake Street, Longfellow, Minneapolis, Hennepin County, Minnesota, 55406, United States of America"
"2383, Elliot Avenue South, Phillips, Minneapolis, Hennepin County, Minnesota, 55404, United States of America"
"Elliot Hall, East River Parkway, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55414:55455, United States of America"
"Elliot Park, 9th Avenue South, Phillips, Minneapolis, Hennepin County, Minnesota, 55404, United States of America"
"Sorin Hall, Englewood Avenue, Hamline-Midway, St. Paul, Ramsey County, Minnesota, 55104, United States of America"
"University Ave., Fairview Avenue North, Hamline-Midway, St. Paul, Ramsey County, Minnesota, 55104, United States of America"
"Farview Park, North 26th Avenue, Hawthorne, Near North, Minneapolis, Hennepin County, Minnesota, 55411, United States of America"
"Fort Snelling State Park Visitor Center, Snelling Lake Road, Hennepin County, Minnesota, 55111, United States of America"
"Frontage Road, Hennepin County, Minnesota, 55111, United States of America"
"11th Ave., 11th Avenue South, Phillips, Minneapolis, Hennepin County, Minnesota, 55404, United States of America"
"Seward Food Cooperative, East Franklin Avenue, Longfellow, Minneapolis, Hennepin County, Minnesota, 55406, United States of America"
"Portland, Portland Avenue South, Phillips West, Minneapolis, Hennepin County, Minnesota, 55404, United States of America"
"Gateway Park, Hennepin Avenue, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"2034, North Girard Avenue, Near-North, Near North, Minneapolis, Hennepin County, Minnesota, 55411, United States of America"
"Morgan Av N, Glenwood Avenue, Harrison, Near North, Minneapolis, Hennepin County, Minnesota, 55405, United States of America"
"Wells Fargo, Grand Avenue, St. Paul, Ramsey County, Minnesota, 55105, United States of America"
"Portland Ave., 11th Street South, Phillips, Minneapolis, Hennepin County, Minnesota, 55404, United States of America"
"Parsonage, Groveland Avenue, Loring Park, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"Dale Street, Hague Avenue, St. Paul, Ramsey County, Minnesota, 55104, United States of America"
"Hamline Av, University Avenue, Hamline-Midway, St. Paul, Ramsey County, Minnesota, 55104, United States of America"
"145, West Water Street, St. Paul, Ramsey County, Minnesota, 55107, United States of America"
"Central Avenue NE, East Hennepin Avenue, St Anthony East, Northeast, Minneapolis, Hennepin County, Minnesota, 55413, United States of America"
"Laurel Ave., Laurel Avenue West, Loring Park, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"5 St / 6 St S, Hennepin Avenue, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"Grand Ave and Cretin Nice Ride Station, Cretin Avenue South, Highland Village, St. Paul, Ramsey County, Minnesota, 55104, United States of America"
"Hennepin Av, Washington Avenue North, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55411, United States of America"
"3rd Ave. S, Government Center Plaza, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55415, United States of America"
"50th St Station-Minnehaha Park, Hiawatha Avenue, Minnehaha, Minneapolis, Hennepin County, Minnesota, 55417, United States of America"
"IDS Center, South 8th Street, Phillips, Minneapolis, Hennepin County, Minnesota, 55404, United States of America"
"Crowne Plaza, Saint Paul Skyway, St. Paul, Ramsey County, Minnesota, 55155, United States of America"
"Warren E. Berger Federal Building & US Courthouse, 316, Robert Street North, St. Paul, Ramsey County, Minnesota, 55101, United States of America"
"Kellogg Blvd, North Smith Avenue, St. Paul, Ramsey County, Minnesota, 55102, United States of America"
"Kowalski's, Grand Avenue, St. Paul, Ramsey County, Minnesota, 55105, United States of America"
"Calhoun Executive Center, West Lake Street, Cedar-Isles-Dean, Minneapolis, Hennepin County, Minnesota, 55416, United States of America"
"Como Lakeside Pavilion, 1360, Lexington Parkway North, St. Paul, Ramsey County, Minnesota, 55103, United States of America"
"4603, East Lake Harriet Boulevard, East Harriet, Minneapolis, Hennepin County, Minnesota, 55419, United States of America"
"2071, East Minnehaha Parkway, Nokomis, Minneapolis, Hennepin County, Minnesota, 55417, United States of America"
"Humboldt, Humboldt Avenue South, East Isles, Minneapolis, Hennepin County, Minnesota, 55403:55408, United States of America"
"Calhoun E/Knox Av, West Lake Street, Cedar-Isles-Dean, Minneapolis, Hennepin County, Minnesota, 55408, United States of America"
"CorAzoN, East Lake Street, Longfellow, Minneapolis, Hennepin County, Minnesota, 55406, United States of America"
"Saint Paul Hotel, Saint Peter Street, St. Paul, Ramsey County, Minnesota, 55155, United States of America"
"Lexington Pkwy, University Avenue, Hamline-Midway, St. Paul, Ramsey County, Minnesota, 55104, United States of America"
"Logan Park, Northeast Broadway Street, Logan Park, Northeast, Minneapolis, Hennepin County, Minnesota, 55413, United States of America"
"Loring Park, Harmon Place, Loring Park, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"Lyndale, Lyndale Avenue South, Phillips, Minneapolis, Hennepin County, Minnesota, 55405, United States of America"
"VFW, Lyndale Avenue South, Phillips, Minneapolis, Hennepin County, Minnesota, 55419, United States of America"
"Macalester College, Grand Avenue, St. Paul, Ramsey County, Minnesota, 55105, United States of America"
"557, Southeast Malcolm Avenue, Longfellow, Minneapolis, Hennepin County, Minnesota, 55414, United States of America"
"C-56, 1922, Southeast 5th Street, Longfellow, Minneapolis, Hennepin County, Minnesota, 55455-1502, United States of America"
"1807, Northeast Marshall Street, Bottineau, Northeast, Minneapolis, Hennepin County, Minnesota, 55418, United States of America"
"Northeast Yacht Club, Northeast 8th Avenue, St Anthony West, Northeast, Minneapolis, Hennepin County, Minnesota, 55413, United States of America"
"Lowry Av Ne, Northeast Marshall Street, Bottineau, Northeast, Minneapolis, Hennepin County, Minnesota, 55418, United States of America"
"PWB, 516, Southeast Delaware Street, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55455, United States of America"
"Main Building, 2501, Stevens Avenue South, Whittier, Minneapolis, Hennepin County, Minnesota, 55404, United States of America"
"McNamara Center, Southeast Walnut Street, Longfellow, Minneapolis, Hennepin County, Minnesota, 55414, United States of America"
"Midtown Exchange, 10th Avenue South, Phillips, Minneapolis, Hennepin County, Minnesota, 55407, United States of America"
"Midtown Greenway, Phillips West, Minneapolis, Hennepin County, Minnesota, 55408, United States of America"
"Midtown YWCA, East Lake Street, Corcoran, Minneapolis, Hennepin County, Minnesota, 55406, United States of America"
"293, Border Avenue, Sumner-Glenwood, Near North, Minneapolis, Hennepin County, Minnesota, 55405, United States of America"
"North West River Road, Hawthorne, Near North, Minneapolis, Hennepin County, Minnesota, 55411, United States of America"
"Dairy Queen, Minnehaha Avenue, Hiawatha, Minneapolis, Hennepin County, Minnesota, 55406, United States of America"
"State Office Building, 100, Fuller Avenue, St. Paul, Ramsey County, Minnesota, 55155, United States of America"
"Summit Av, Kellogg Boulevard E, St. Paul, Ramsey County, Minnesota, 55155, United States of America"
"55, South Mississippi River Boulevard, St. Paul, Ramsey County, Minnesota, 55105, United States of America"
"Mpls. Convention Center, Minneapolis Skyway, Loring Park, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"1, 4th Avenue North, St Anthony West, Near North, Minneapolis, Hennepin County, Minnesota, 55401, United States of America"
"St. Paul United Church of Christ, Summit Avenue, St. Paul, Ramsey County, Minnesota, 55105, United States of America"
"Pedro Park, East 10th Street, St. Paul, Ramsey County, Minnesota, 55101, United States of America"
"University Ave., North Victoria Street, St. Paul, Ramsey County, Minnesota, 55104, United States of America"
"9 Av N, North Washington Avenue, Sumner-Glenwood, Near North, Minneapolis, Hennepin County, Minnesota, 55411, United States of America"
"27 St E, 36th Avenue South, Longfellow, Minneapolis, Hennepin County, Minnesota, 55406, United States of America"
"Franklin, Nicollet Avenue South, Whittier, Minneapolis, Hennepin County, Minnesota, 55408, United States of America"
"Butter Bakery Cafe, 3700, Nicollet Avenue South, Lyndale, Minneapolis, Hennepin County, Minnesota, 55420, United States of America"
"Nicollet Island Park, Merriam Street, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55401, United States of America"
"Nicollet Mall and Grant Street, West Grant Street, Loring Park, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"4th Ave. N, North 2nd Street, St Anthony West, Near North, Minneapolis, Hennepin County, Minnesota, 55411, United States of America"
"North Mississippi Park trails, Lind-Bohanon, Camden, Minneapolis, Hennepin County, Minnesota, 55412, United States of America"
"North Mississippi Park trails, Webber-Camden, Camden, Minneapolis, Hennepin County, Minnesota, 55412, United States of America"
"Oak Street Ramp, Southeast Oak Street, Longfellow, Minneapolis, Hennepin County, Minnesota, 55455, United States of America"
"2992, Pleasant Avenue South, Lyndale, Minneapolis, Hennepin County, Minnesota, 55408, United States of America"
"N. Oliver Ave, North Plymouth Avenue, Willard-Hay, Near North, Minneapolis, Hennepin County, Minnesota, 55411; 55422, United States of America"
"The Commons, South 5th Street, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55415, United States of America"
"Washington Ave., Portland Avenue South, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55415, United States of America"
"University Av, Rice Street, St. Paul, Ramsey County, Minnesota, 55155, United States of America"
"Foss Center, Riverside Avenue, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55454, United States of America"
"RBC Plaza, 60, South 6th Street, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55402, United States of America"
"TCF Tower, 121, South 8th Street, Phillips, Minneapolis, Hennepin County, Minnesota, 55404, United States of America"
"SanH, 1122, Southeast 11th Avenue, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55455, United States of America"
"Palace Av, 7th Street West, St. Paul, Ramsey County, Minnesota, 55102;55116, United States of America"
"Science Museum Ramp, Kellogg Boulevard West, St. Paul, Ramsey County, Minnesota, 55155, United States of America"
"301, Southeast University Avenue, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55414, United States of America"
"YWCA Parking Lot, Selby Avenue, St. Paul, Ramsey County, Minnesota, 55102, United States of America"
"Shepard Road, St. Paul, Ramsey County, Minnesota, 55146, United States of America"
"Snelling Ave. N., Sherburne Avenue, Hamline-Midway, St. Paul, Ramsey County, Minnesota, 55104, United States of America"
"Social Sciences, Gopher Way, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55455-0425, United States of America"
"S 2nd Street & 3rd Ave S, 3rd Avenue South, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55404, United States of America"
"Caribou Coffee, North 5th Street, Sumner-Glenwood, Near North, Minneapolis, Hennepin County, Minnesota, 55411, United States of America"
"U of M St. Paul Student Center, Buford Avenue, Falcon Heights, Ramsey County, Minnesota, 55108, United States of America"
"Union Depot, East 4th Street, St. Paul, Ramsey County, Minnesota, 55101, United States of America"
"Bank Street SE, Southeast Bank Street, St Anthony West, Northeast, Minneapolis, Hennepin County, Minnesota, 55414, United States of America"
"394, University Avenue, St. Paul, Ramsey County, Minnesota, 55155, United States of America"
"T-Rex Cookie Cafe, 3338, University Avenue, St. Paul, Ramsey County, Minnesota, 55114, United States of America"
"Sheridan Global Arts & Communications School, Northeast University Avenue, Bottineau, Northeast, Minneapolis, Hennepin County, Minnesota, 55418, United States of America"
"Anderson Student Center, Cretin Avenue South, St. Paul, Ramsey County, Minnesota, 55104, United States of America"
"Spring Street, St. Paul, Ramsey County, Minnesota, 55155, United States of America"
"Nice Ride Bike Station, Upton Avenue South, Linden Hills, Minneapolis, Hennepin County, Minnesota, 55410, United States of America"
"Calhoun Square Parking Lot, West 31st Street, CARAG, Minneapolis, Hennepin County, Minnesota, 55408, United States of America"
"3212, West 36th Street, Southwest, Minneapolis, Hennepin County, Minnesota, 55416, United States of America"
"Wabasha Street South, St. Paul, Ramsey County, Minnesota, 55107, United States of America"
"1, Groveland Terrace, Sumner-Glenwood, Near North, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"2nd Ave. N, 2nd Avenue North, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"Cedar, South Washington Avenue, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55454, United States of America"
"ING Reliastar 111 Building, Minneapolis Skyway, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55423, United States of America"
"Dock Street Apartments, 337, Washington Avenue North, St Anthony West, Near North, Minneapolis, Hennepin County, Minnesota, 55411, United States of America"
"9th Ave., Washington Avenue South, St Anthony West, Phillips, Minneapolis, Hennepin County, Minnesota, 55415:55454, United States of America"
"KHKH, 200, Union Street Southeast, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55455, United States of America"
"Bruininks Hall, 222, PEDS, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55455, United States of America"
"Wells Fargo Place, 7th Street East, St. Paul, Ramsey County, Minnesota, 55155, United States of America"
"14 St, Willow Street South, Loring Park, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"Bryant Ave. S, West 32nd Street, CARAG, Minneapolis, Hennepin County, Minnesota, 55408, United States of America"
"Dunn Bros, 3348, Hennepin Avenue South, Southwest, Minneapolis, Hennepin County, Minnesota, 55408, United States of America"
"Bryant Ave. S, West 36th Street, Southwest, Minneapolis, Hennepin County, Minnesota, 55408, United States of America"
"Logan Ave. N, North Logan Avenue, Jordan, Near North, Minneapolis, Hennepin County, Minnesota, 55412, United States of America"
"Marshall Ave., North Wilder Street, St. Paul, Ramsey County, Minnesota, 55104, United States of America"
"Anderson Hall, PEDS, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55455, United States of America"
"Williamson Hall, Southeast Pillsbury Drive, Marcy-Holmes, Phillips, Minneapolis, Hennepin County, Minnesota, 55455-3027, United States of America"
"Wirth Park Beach, Glenwood Avenue, Golden Valley, Hennepin County, Minnesota, 55422, United States of America"
"YWCA Downtown, South 12th Street, Sumner-Glenwood, Phillips, Minneapolis, Hennepin County, Minnesota, 55403, United States of America"
"YWCA Uptown, Hennepin Avenue South, Southwest, Minneapolis, Hennepin County, Minnesota, 55408, United States of America"
